iter	MultiClass
0	2.064413789
1	2.047306894
2	2.028508421
3	2.012942359
4	2.002055654
5	1.987034771
6	1.970867408
7	1.954723581
8	1.939419226
9	1.923956567
10	1.909801403
11	1.89562941
12	1.880613413
13	1.862284459
14	1.847861017
15	1.832126037
16	1.822465898
17	1.807890199
18	1.797301769
19	1.78098657
20	1.770656524
21	1.75930948
22	1.743475425
23	1.72600158
24	1.716160343
25	1.706368804
26	1.698350587
27	1.685736862
28	1.67275873
29	1.668477305
30	1.657351352
31	1.6473153
32	1.634235495
33	1.626285353
34	1.613518498
35	1.602158167
36	1.59037294
37	1.580735627
38	1.569761272
39	1.557494692
40	1.551671199
41	1.540569221
42	1.528611976
43	1.518575504
44	1.508619312
45	1.500246982
46	1.491974796
47	1.485270399
48	1.475523578
49	1.467414622
50	1.456355053
51	1.44720079
52	1.438098319
53	1.429300064
54	1.420965027
55	1.409668437
56	1.400685721
57	1.391560698
58	1.382249523
59	1.374193395
60	1.36550185
61	1.356791765
62	1.349694371
63	1.341784234
64	1.332634643
65	1.323334441
66	1.319230144
67	1.310386899
68	1.302675285
69	1.294574305
70	1.286483082
71	1.276941873
72	1.267734753
73	1.259697954
74	1.251103359
75	1.242710278
76	1.235012868
77	1.227229894
78	1.220486441
79	1.213922388
80	1.207581963
81	1.19993765
82	1.192194004
83	1.182103353
84	1.17471071
85	1.165733707
86	1.157083997
87	1.149635787
88	1.142536805
89	1.13540322
90	1.12770535
91	1.121427891
92	1.114322822
93	1.105885206
94	1.098974648
95	1.093456314
96	1.086040505
97	1.078907699
98	1.071700905
99	1.065580704
100	1.059736357
101	1.054203633
102	1.047343086
103	1.041064496
104	1.03429026
105	1.028567739
106	1.021923807
107	1.015601053
108	1.009812293
109	1.004163964
110	0.9984657558
111	0.9919435175
112	0.9862884096
113	0.9802228566
114	0.9752982973
115	0.9689064446
116	0.9620550864
117	0.9563644945
118	0.9507196733
119	0.9449004655
120	0.9391765018
121	0.9333620849
122	0.9276359855
123	0.9219637433
124	0.9173630502
125	0.9120001896
126	0.90645355
127	0.9019961752
128	0.8959704516
129	0.8887923175
130	0.8828725476
131	0.8780104325
132	0.8727194746
133	0.8671015642
134	0.8622336852
135	0.8579895432
136	0.8524703241
137	0.8468132372
138	0.8420908581
139	0.8376753403
140	0.833765207
141	0.8276881582
142	0.8230215422
143	0.8192106223
144	0.8153059345
145	0.8114490391
146	0.8063066463
147	0.8022342872
148	0.7980881933
149	0.7943865689
150	0.789528475
151	0.7856615018
152	0.7799572138
153	0.7755142147
154	0.7712266321
155	0.766352113
156	0.7629786339
157	0.7584129624
158	0.7538068023
159	0.7495463942
160	0.745788589
161	0.7423504732
162	0.7391701338
163	0.7357213645
164	0.7319259353
165	0.7280771031
166	0.7244034571
167	0.7212401361
168	0.716946204
169	0.7130788516
170	0.7091915715
171	0.7060965573
172	0.7023492559
173	0.698952485
174	0.6956838383
175	0.6920645028
176	0.6884663511
177	0.6850208148
178	0.6818722926
179	0.6782317613
180	0.6748587159
181	0.6711624918
182	0.6685801831
183	0.6648506762
184	0.6615224394
185	0.6585339085
186	0.6549301966
187	0.6519555017
188	0.6485628839
189	0.6447629203
190	0.6417384954
191	0.6384818311
192	0.6352011478
193	0.6319245477
194	0.6291471753
195	0.626542139
196	0.6228745304
197	0.6193877248
198	0.6165970842
199	0.6136268656
200	0.6103835557
201	0.6072696563
202	0.6043132851
203	0.6011365664
204	0.5981487459
205	0.595067699
206	0.592694557
207	0.5899273542
208	0.586751978
209	0.5841248717
210	0.5814810597
211	0.5792664948
212	0.5770169155
213	0.5745903388
214	0.5726984217
215	0.5702469593
216	0.5679888374
217	0.5654873668
218	0.5624524364
219	0.5598670978
220	0.5570738352
221	0.5544576531
222	0.5526437758
223	0.5503856225
224	0.5484046463
225	0.5462793192
226	0.5437984365
227	0.5418313946
228	0.5397118332
229	0.5377253854
230	0.535232918
231	0.5326317995
232	0.5304754073
233	0.5280904286
234	0.5256469532
235	0.523455308
236	0.5212753864
237	0.5192329324
238	0.5171106393
239	0.5147221961
240	0.5129605182
241	0.5107708323
242	0.5085308635
243	0.5066998052
244	0.5047389286
245	0.5025714683
246	0.5012111796
247	0.4995333648
