iter	Passed	Remaining
0	0	540
1	0	486
2	1	449
3	1	429
4	2	420
5	2	389
6	2	363
7	2	361
8	3	367
9	3	378
10	4	378
11	4	381
12	5	383
13	5	385
14	5	385
15	6	384
16	6	383
17	7	382
18	7	381
19	7	382
20	8	382
21	8	375
22	8	376
23	9	375
24	9	375
25	10	375
26	10	375
27	10	375
28	11	375
29	11	375
30	11	374
31	12	374
32	12	375
33	13	375
34	13	374
35	14	374
36	14	374
37	14	374
38	14	366
39	15	366
40	15	367
41	16	367
42	16	368
43	16	367
44	17	366
45	17	368
46	18	368
47	18	363
48	18	362
49	19	362
50	19	357
51	19	358
52	20	358
53	20	359
54	20	359
55	21	358
56	21	358
57	22	359
58	22	359
59	22	358
60	23	358
61	23	355
62	23	355
63	24	355
64	24	355
65	24	351
66	25	352
67	25	352
68	26	352
69	26	352
70	26	353
71	27	353
72	27	353
73	28	353
74	28	353
75	29	352
76	29	352
77	29	352
78	30	351
79	30	351
80	30	351
81	31	351
82	31	350
83	32	350
84	32	349
85	32	349
86	33	349
87	33	349
88	34	349
89	34	349
90	34	348
91	35	348
92	35	348
93	36	348
94	36	348
95	36	347
96	37	347
97	37	347
98	38	347
99	38	347
100	38	346
101	39	346
102	39	346
103	40	345
104	40	345
105	40	345
106	41	345
107	41	345
108	42	344
109	42	344
110	42	343
111	43	343
112	43	343
113	44	343
114	44	343
115	45	342
116	45	342
117	45	342
118	46	342
119	46	341
120	47	341
121	47	341
122	47	341
123	48	340
124	48	340
125	49	340
126	49	340
127	50	340
128	50	340
129	50	340
130	51	339
131	51	339
132	51	338
133	52	338
134	52	338
135	53	338
136	53	337
137	54	337
138	54	337
139	54	337
140	55	337
141	55	337
142	56	337
143	56	337
144	57	336
145	57	336
146	57	335
147	58	335
148	58	334
149	59	334
150	59	334
151	59	334
152	60	334
153	60	333
154	61	333
155	61	333
156	62	333
157	62	332
158	62	332
159	63	332
160	63	331
161	64	331
162	64	331
163	64	330
164	65	330
165	65	330
166	66	329
167	66	329
168	66	328
169	67	328
170	67	328
171	68	327
172	68	327
173	68	327
174	69	326
175	69	326
176	70	326
177	70	325
178	70	325
179	71	325
180	71	324
181	72	324
182	72	324
183	73	323
184	73	323
185	73	323
186	74	322
187	74	321
188	74	321
189	75	320
190	75	320
191	75	319
192	76	319
193	76	318
194	77	318
195	77	317
196	77	317
197	78	317
198	78	317
199	79	316
200	79	316
201	79	315
202	80	315
203	80	314
204	81	314
205	81	313
206	81	313
207	82	313
208	82	312
209	83	312
210	83	312
211	83	311
212	84	311
213	84	311
214	85	310
215	85	310
216	85	310
217	86	309
218	86	309
219	87	308
220	87	308
221	87	307
222	88	307
223	88	306
224	89	306
225	89	306
226	89	305
227	90	305
228	90	305
229	90	304
230	91	304
231	91	303
232	92	303
233	92	303
234	93	302
235	93	302
236	93	302
237	94	301
238	94	301
239	95	301
240	95	300
241	95	300
242	96	300
243	96	299
244	97	299
245	97	299
246	97	298
247	98	298
248	98	297
249	99	297
250	99	297
251	100	296
252	100	296
253	100	296
254	101	295
255	101	295
256	101	294
257	102	294
258	102	294
259	103	293
260	103	293
261	104	293
262	104	292
263	104	292
264	105	291
265	105	291
266	105	290
267	106	290
268	106	289
269	107	289
270	107	289
271	107	288
272	108	288
273	108	288
274	109	287
275	109	287
276	109	286
277	110	286
278	110	285
279	111	285
280	111	285
281	111	284
282	112	284
283	112	284
284	113	283
285	113	283
286	113	282
287	114	282
288	114	282
289	115	281
290	115	281
291	115	280
292	116	280
293	117	281
294	117	281
295	117	280
296	118	280
297	118	279
298	119	279
299	119	278
300	119	278
301	120	278
302	120	277
303	121	277
304	121	277
305	121	276
306	122	276
307	122	275
308	123	275
309	123	275
310	123	274
311	124	274
312	124	273
313	125	273
314	125	273
315	125	272
316	126	272
317	126	271
318	127	271
319	127	271
320	128	270
321	128	270
322	128	270
323	129	269
324	129	269
325	130	269
326	130	268
327	130	268
328	131	267
329	131	267
330	132	267
331	132	266
332	132	266
333	133	265
334	133	265
335	134	265
336	134	264
337	134	264
338	135	263
339	135	263
340	136	263
341	136	262
342	136	262
343	137	261
344	137	261
345	138	260
346	138	260
347	138	260
348	139	259
349	139	259
350	139	258
351	140	258
352	140	258
353	141	257
354	141	257
355	142	256
356	142	256
357	142	256
358	143	255
359	143	255
360	144	254
361	144	254
362	144	254
363	145	253
364	145	253
365	146	253
366	146	252
367	147	252
368	147	252
369	147	251
370	148	251
371	148	251
372	149	250
373	149	250
374	149	249
375	150	249
376	150	249
377	151	248
378	151	248
379	151	247
380	152	247
381	152	246
382	153	246
383	153	246
384	153	245
385	154	245
386	154	244
387	155	244
388	155	244
389	155	243
390	156	243
391	156	242
392	156	242
393	157	242
394	157	241
395	158	241
396	158	240
397	159	241
398	160	241
399	160	240
400	160	240
401	160	239
402	161	239
403	161	238
404	162	238
405	162	237
406	162	237
407	163	237
408	163	236
409	164	236
410	164	235
411	164	235
412	165	234
413	165	234
414	166	234
415	166	233
416	166	233
417	167	232
418	167	232
419	168	232
420	168	231
421	169	231
422	169	231
423	169	230
424	170	230
425	170	229
426	171	229
427	171	229
428	171	228
429	172	228
430	172	227
